time	step	loss	loss_ma25	lr	tokens_seen_b
2026-05-28T13:55:47+08:00	5500	4.01518679	4.01609314	0.000294612728581	0.54067200
2026-05-28T13:56:19+08:00	5520	4.02729034	4.01438999	0.000294565049327	0.54263808
2026-05-28T13:56:51+08:00	5540	4.01813269	4.01373974	0.000294517164347	0.54460416
2026-05-28T13:57:23+08:00	5560	3.98995781	4.01170471	0.000294469073716	0.54657024
2026-05-28T13:57:54+08:00	5580	4.02386761	4.00815842	0.00029442077751	0.54853632
2026-05-28T13:58:26+08:00	5600	4.01503849	4.00813145	0.000294372275807	0.55050240
2026-05-28T13:58:58+08:00	5620	4.08215427	4.00624315	0.000294323568684	0.55246848
2026-05-28T13:59:30+08:00	5640	4.00432634	3.99923157	0.000294274656216	0.55443456
2026-05-28T14:00:01+08:00	5660	4.05299950	4.00038361	0.000294225538484	0.55640064
2026-05-28T14:00:33+08:00	5680	4.00162983	4.00018892	0.000294176215563	0.55836672
2026-05-28T14:01:05+08:00	5700	3.90760159	4.00309041	0.000294126687534	0.56033280
2026-05-28T14:01:37+08:00	5720	3.96577215	3.99868974	0.000294076954473	0.56229888
2026-05-28T14:02:08+08:00	5740	3.87801886	3.99224547	0.000294027016461	0.56426496
2026-05-28T14:02:40+08:00	5760	4.00052214	3.99037671	0.000293976873576	0.56623104
2026-05-28T14:03:11+08:00	5780	3.88075185	3.98794684	0.000293926525899	0.56819712
2026-05-28T14:03:42+08:00	5800	3.99117160	3.98795248	0.000293875973509	0.57016320
2026-05-28T14:04:14+08:00	5820	3.96231842	3.98808508	0.000293825216486	0.57212928
2026-05-28T14:04:45+08:00	5840	3.94034624	3.98094215	0.000293774254911	0.57409536
2026-05-28T14:05:16+08:00	5860	3.96556520	3.97481979	0.000293723088865	0.57606144
2026-05-28T14:05:48+08:00	5880	3.84272528	3.97175426	0.000293671718429	0.57802752
2026-05-28T14:06:20+08:00	5900	4.01893616	3.97624212	0.000293620143685	0.57999360
2026-05-28T14:06:52+08:00	5920	3.93475389	3.97436432	0.000293568364715	0.58195968
2026-05-28T14:07:23+08:00	5940	3.91942000	3.96996980	0.0002935163816	0.58392576
2026-05-28T14:07:55+08:00	5960	3.94622707	3.97033310	0.000293464194424	0.58589184
2026-05-28T14:08:27+08:00	5980	3.88832998	3.97092176	0.000293411803269	0.58785792
2026-05-28T14:08:59+08:00	6000	3.97002888	3.96911545	0.000293359208218	0.58982400
2026-05-28T14:09:30+08:00	6020	4.00016356	3.96803038	0.000293306409355	0.59179008
2026-05-28T14:10:02+08:00	6040	3.92546225	3.96432356	0.000293253406764	0.59375616
2026-05-28T14:10:34+08:00	6060	3.78824997	3.95625525	0.000293200200529	0.59572224
2026-05-28T14:11:06+08:00	6080	4.03293133	3.95661779	0.000293146790735	0.59768832
2026-05-28T14:11:37+08:00	6100	3.94223404	3.95370562	0.000293093177465	0.59965440
